izo;prijati;zamitnuti;celkem
151025886.0;30;34;64
151027218.0;8;0;8
151028931.0;45;85;130
151029440.0;18;16;34
151032688.0;6;5;11
151035504.0;7;3;10
151035709.0;5;2;7
151035768.0;63;154;217
151035806.0;30;35;65
151036268.0;90;159;249
151036985.0;51;79;130
151037388.0;5;3;8
151037639.0;3;1;4
151038546.0;66;139;205
151039437.0;13;3;16
151040389.0;19;37;56
151040753.0;26;31;57
181000890.0;6;10;16
181002604.0;5;2;7
181002931.0;72;285;357
181006383.0;60;113;173
181007282.0;78;241;319
181007304.0;2;0;2
181008521.0;1;3;4
181013410.0;7;8;15
181015692.0;42;30;72
181015706.0;2;0;2
181016117.0;3;4;7
181016672.0;4;0;4
181017067.0;7;0;7
181023687.0;3;0;3
181023725.0;10;0;10
181023903.0;55;263;318
181024829.0;200;502;702
181024845.0;10;0;10
181024888.0;14;11;25
181025001.0;4;1;5
181025230.0;10;0;10
181025906.0;24;26;50
181027291.0;234;523;757
181027810.0;92;195;287
181031574.0;4;0;4
181033496.0;156;268;424
181033577.0;239;435;674
181033666.0;36;42;78
181034131.0;43;58;101
181035618.0;53;99;152
181035898.0;4;4;8
181036606.0;27;18;45
181038897.0;1;0;1
181042771.0;2;0;2
181044684.0;41;97;138
181045231.0;9;2;11
181047519.0;28;56;84
181048841.0;250;664;914
181055058.0;3;1;4
181055660.0;20;52;72
181057522.0;10;0;10
181059568.0;60;113;173
181059711.0;7;0;7
181064197.0;2;0;2
181064341.0;2;4;6
181068729.0;4;0;4
181069288.0;1;1;2
181073501.0;3;0;3
181073978.0;2;0;2
181075849.0;45;90;135
181077639.0;7;0;7
181077728.0;3;0;3
181078988.0;22;46;68
181079607.0;7;7;14
181079704.0;6;0;6
181080109.0;5;7;12
181080168.0;1;0;1
181080206.0;1;1;2
181080541.0;8;10;18
181084694.0;22;24;46
181086093.0;35;71;106
181086263.0;103;250;353
181087154.0;1;1;2
181087464.0;1;0;1
181087511.0;1;0;1
181088231.0;20;37;57
181089114.0;2;2;4
181095726.0;4;1;5
181095912.0;58;53;111
181095971.0;2;0;2
181096633.0;10;8;18
181096790.0;19;31;50
181096803.0;53;65;118
181096994.0;4;0;4
181100291.0;3;3;6
181105527.0;24;28;52
181106451.0;15;26;41
181113601.0;6;12;18
181118831.0;22;33;55
181118891.0;38;81;119
181119021.0;20;24;44
181119331.0;13;17;30
181119463.0;66;155;221
181119641.0;0;1;1
181120925.0;3;3;6
181121379.0;21;12;33
181121662.0;22;28;50
181122111.0;13;1;14
181122227.0;10;5;15
181127024.0;7;9;16
181127369.0;30;33;63
181127491.0;0;2;2
181127504.0;2;2;4
181128021.0;1;3;4
181128047.0;24;13;37
181128331.0;15;9;24
181132362.0;4;5;9
181134098.0;11;19;30
181134799.0;12;13;25
181134802.0;19;10;29
181136953.0;52;71;123
181138701.0;15;50;65
181141906.0;11;9;20
181141931.0;25;53;78
181141957.0;7;0;7
181141965.0;5;6;11
181141973.0;5;15;20
181141990.0;31;32;63
200000055.0;120;376;496
200000063.0;30;105;135
200001027.0;159;516;675
250000016.0;196;496;692
