izo;prijati;zamitnuti;celkem
638218.0;92;186;278
638226.0;11;9;20
638242.0;86;254;340
638251.0;14;21;35
638277.0;64;137;201
638293.0;176;376;552
638307.0;94;224;318
638323.0;121;442;563
638358.0;192;540;732
638366.0;201;685;886
638374.0;160;794;954
638404.0;67;103;170
638412.0;157;249;406
638421.0;123;408;531
638447.0;150;475;625
638455.0;129;515;644
638463.0;192;886;1078
638501.0;150;495;645
638510.0;120;455;575
638552.0;150;341;491
638595.0;83;242;325
638609.0;34;128;162
638625.0;92;166;258
639028.0;148;452;600
639133.0;215;512;727
639494.0;96;374;470
640930.0;184;382;566
641065.0;11;7;18
654949.0;54;97;151
664359.0;112;171;283
664740.0;279;501;780
666122.0;114;402;516
669725.0;133;263;396
837385.0;149;198;347
837733.0;171;302;473
838811.0;59;113;172
840122.0;28;21;49
842702.0;120;394;514
842737.0;59;102;161
842745.0;88;236;324
842753.0;120;367;487
842761.0;91;299;390
842800.0;25;16;41
842818.0;232;389;621
842851.0;90;88;178
842885.0;90;225;315
842893.0;117;237;354
842907.0;75;90;165
842915.0;91;179;270
842940.0;55;93;148
842966.0;115;156;271
843318.0;23;16;39
843351.0;191;249;440
843369.0;86;192;278
843393.0;84;147;231
843407.0;91;135;226
843474.0;183;339;522
843491.0;139;456;595
843504.0;143;331;474
843547.0;83;128;211
844012.0;89;208;297
845060.0;45;36;81
845213.0;203;299;502
845299.0;133;273;406
845329.0;111;271;382
845388.0;53;115;168
846881.0;86;247;333
848794.0;105;158;263
848875.0;83;131;214
848956.0;139;796;935
850047.0;114;318;432
850365.0;43;41;84
872326.0;9;3;12
2518333.0;86;203;289
7810041.0;454;1107;1561
7820186.0;75;187;262
7880103.0;232;481;713
10622110.0;10;7;17
11021420.0;80;70;150
11179457.0;24;48;72
11217731.0;14;23;37
11233354.0;22;106;128
11583771.0;57;200;257
12583731.0;81;164;245
12907731.0;208;403;611
12954691.0;64;143;207
12996050.0;56;141;197
13064401.0;54;297;351
13094394.0;40;105;145
13582259.0;174;301;475
13582909.0;160;415;575
13643045.0;195;344;539
13643606.0;253;386;639
13643878.0;208;436;644
13644301.0;252;290;542
13644319.0;274;515;789
13644327.0;190;334;524
13818082.0;50;108;158
14450437.0;216;387;603
14451026.0;207;556;763
14451042.0;113;256;369
14451085.0;212;364;576
14585235.0;32;115;147
14803844.0;85;138;223
14867362.0;78;138;216
14891221.0;172;636;808
14891263.0;164;307;471
14891409.0;169;424;593
14891531.0;125;227;352
15028216.0;96;212;308
15034496.0;77;197;274
15034569.0;32;81;113
15037789.0;53;96;149
15050670.0;123;242;365
15052591.0;117;223;340
15052796.0;35;57;92
15055663.0;119;181;300
15062848.0;283;612;895
15530213.0;371;1010;1381
16190483.0;24;159;183
16499671.0;9;33;42
16996593.0;128;126;254
18054455.0;116;274;390
18230083.0;182;428;610
18242171.0;218;414;632
18380824.0;166;308;474
18383874.0;350;578;928
18468012.0;55;129;184
18468071.0;31;25;56
40230457.0;20;103;123
40454525.0;26;141;167
40527867.0;64;269;333
40652441.0;70;29;99
41190726.0;338;486;824
41193041.0;145;322;467
41194462.0;50;267;317
41263936.0;13;29;42
41691202.0;125;125;250
41900995.0;45;51;96
42660505.0;70;61;131
42797942.0;197;299;496
42840431.0;47;114;161
43784054.0;138;164;302
44012667.0;127;210;337
44065485.0;82;141;223
44065663.0;60;167;227
44264445.0;18;24;42
44434324.0;108;123;231
44445288.0;66;194;260
44683405.0;49;73;122
44796277.0;31;155;186
44809875.0;23;60;83
44846738.0;64;339;403
44991517.0;58;70;128
44991665.0;18;81;99
45019517.0;48;95;143
45162654.0;27;40;67
45235686.0;32;70;102
45235708.0;29;39;68
45247226.0;47;87;134
45248001.0;120;534;654
45249750.0;18;22;40
45268983.0;33;125;158
45270082.0;37;109;146
45708797.0;22;36;58
45768277.0;18;57;75
45768561.0;31;53;84
45796955.0;168;251;419
45978298.0;111;484;595
46315284.0;24;32;56
46389164.0;25;43;68
46414991.0;123;260;383
46521798.0;63;303;366
46565507.0;127;230;357
46580336.0;76;121;197
46610502.0;64;125;189
46681612.0;107;216;323
47274603.0;77;69;146
47274611.0;96;251;347
47274620.0;110;95;205
47274654.0;130;326;456
47274689.0;165;256;421
47274701.0;29;40;69
47274719.0;109;175;284
47313129.0;39;35;74
47353872.0;63;44;107
47450827.0;30;67;97
47558407.0;96;259;355
47558415.0;259;450;709
47558458.0;58;182;240
47558504.0;116;338;454
47608960.0;53;81;134
47611162.0;21;11;32
47921838.0;53;155;208
48033413.0;76;289;365
48109355.0;102;501;603
48134023.0;90;144;234
48160989.0;149;342;491
48161012.0;60;150;210
48161101.0;50;156;206
48161110.0;42;44;86
48161161.0;136;343;479
48161179.0;311;818;1129
48161209.0;90;261;351
48326437.0;146;214;360
48342912.0;88;90;178
48342939.0;78;126;204
48513423.0;28;24;52
48513512.0;59;452;511
48515027.0;18;24;42
48729906.0;88;156;244
48808865.0;20;30;50
49232886.0;26;73;99
49290274.0;27;34;61
49314653.0;59;68;127
49314661.0;150;419;569
49314670.0;60;154;214
49314785.0;78;156;234
49314891.0;49;87;136
49314912.0;137;236;373
49356062.0;210;405;615
49366629.0;90;589;679
49556088.0;3;9;12
49558421.0;51;93;144
49562339.0;10;20;30
49625446.0;92;678;770
49704397.0;26;71;97
49752391.0;28;70;98
49753771.0;91;219;310
49753789.0;159;382;541
49766929.0;287;650;937
49767194.0;91;214;305
49774301.0;290;552;842
49774859.0;127;238;365
49775961.0;57;81;138
49776541.0;48;92;140
49777149.0;60;139;199
49778064.0;150;323;473
49778099.0;155;541;696
49778102.0;89;523;612
49778111.0;28;32;60
49778137.0;89;216;305
49778145.0;159;535;694
49778161.0;191;363;554
49790820.0;36;58;94
49797999.0;129;222;351
60058871.0;85;95;180
60061812.0;117;276;393
60061855.0;57;110;167
60061863.0;197;363;560
60061880.0;63;110;173
60064765.0;58;141;199
60064781.0;87;128;215
60064790.0;85;218;303
60065303.0;30;43;73
60074281.0;28;133;161
60074302.0;52;149;201
60075104.0;42;74;116
60075775.0;90;547;637
60075856.0;3;2;5
60075902.0;35;22;57
60075970.0;116;252;368
60076046.0;90;309;399
60076062.0;29;12;41
60076089.0;144;223;367
60076101.0;60;385;445
60076135.0;120;559;679
60077590.0;207;290;497
60084286.0;53;99;152
60096136.0;56;94;150
60103329.0;75;112;187
60103337.0;87;203;290
60103345.0;81;246;327
60103361.0;114;174;288
60103370.0;134;206;340
60115645.0;27;91;118
60153237.0;111;182;293
60153245.0;91;171;262
60153296.0;122;224;346
60153393.0;56;74;130
60154021.0;36;36;72
60162961.0;67;333;400
60337320.0;91;297;388
60370009.0;12;17;29
60370505.0;130;205;335
60371684.0;179;307;486
60371731.0;120;284;404
60371749.0;67;161;228
60371757.0;89;189;278
60436735.0;73;228;301
60446218.0;60;506;566
60446234.0;90;531;621
60446846.0;51;90;141
60447109.0;50;96;146
60449004.0;89;945;1034
60522321.0;7;28;35
60552255.0;741;1788;2529
60555211.0;115;1004;1119
60650443.0;120;141;261
60650478.0;91;202;293
60650486.0;52;121;173
60650494.0;99;149;248
60650770.0;51;57;108
60723785.0;72;178;250
60729937.0;214;337;551
60784024.0;76;153;229
60784733.0;23;41;64
60801743.0;32;45;77
60884690.0;89;165;254
60884703.0;90;132;222
60884711.0;88;191;279
60884720.0;135;233;368
60884746.0;89;193;282
60884762.0;56;138;194
61222402.0;78;183;261
61357235.0;62;62;124
61357278.0;53;76;129
61357294.0;80;148;228
61384534.0;118;350;468
61384992.0;75;535;610
61385271.0;146;418;564
61385298.0;60;559;619
61385476.0;148;1649;1797
61385581.0;27;56;83
61385701.0;88;552;640
61385891.0;112;243;355
61386022.0;177;412;589
61386855.0;192;726;918
61387002.0;29;67;96
61387339.0;16;44;60
61388068.0;119;512;631
61388246.0;119;409;528
61388726.0;136;295;431
61388866.0;173;410;583
61664537.0;73;181;254
61664545.0;85;145;230
61664553.0;110;222;332
61664651.0;166;284;450
61664707.0;90;258;348
61664715.0;90;265;355
61924008.0;84;176;260
61924032.0;90;202;292
61924041.0;111;261;372
61924059.0;165;185;350
61942839.0;44;260;304
61988278.0;89;342;431
62029754.0;102;269;371
62062883.0;38;61;99
62157213.0;64;117;181
62157264.0;210;553;763
62157884.0;40;79;119
62534408.0;29;10;39
62690035.0;141;341;482
62690043.0;85;290;375
62690060.0;154;311;465
62690221.0;107;185;292
62690272.0;150;614;764
62690400.0;95;117;212
63109026.0;120;615;735
63109662.0;60;777;837
64353389.0;60;180;240
102000638.0;424;755;1179
102000654.0;8;5;13
102000930.0;32;44;76
102006881.0;91;167;258
102006920.0;59;98;157
102006954.0;96;160;256
102007926.0;114;231;345
102007934.0;89;177;266
102007942.0;90;266;356
102007969.0;60;114;174
102007993.0;60;240;300
102018006.0;114;241;355
102037680.0;119;172;291
102047723.0;29;69;98
102100675.0;69;98;167
102101531.0;77;124;201
102104522.0;52;47;99
102113424.0;10;6;16
102113556.0;16;27;43
102113611.0;112;128;240
102133743.0;84;124;208
102133786.0;432;889;1321
102133883.0;25;23;48
102142262.0;124;162;286
102145571.0;120;212;332
102145580.0;28;31;59
102145598.0;90;105;195
102145776.0;119;262;381
102160261.0;51;107;158
102191557.0;80;186;266
102191565.0;90;247;337
102191573.0;56;132;188
102244928.0;107;215;322
102244936.0;81;94;175
102244944.0;168;326;494
102244952.0;83;188;271
102266239.0;58;76;134
102266247.0;115;177;292
102266255.0;61;176;237
102266271.0;137;267;404
102319863.0;181;385;566
102319928.0;38;64;102
102319936.0;60;126;186
102319944.0;150;381;531
102319995.0;224;389;613
102403554.0;89;127;216
102403562.0;52;65;117
102454299.0;81;135;216
102454302.0;58;59;117
102454311.0;56;189;245
102454345.0;59;38;97
102519943.0;90;113;203
102519951.0;84;210;294
102519978.0;75;135;210
102519986.0;89;253;342
102531021.0;22;43;65
102531064.0;72;91;163
102531081.0;30;36;66
102531099.0;60;188;248
102602417.0;49;56;105
102638519.0;102;147;249
102675511.0;76;66;142
102692165.0;60;134;194
102692173.0;74;100;174
102692181.0;120;192;312
102692190.0;90;188;278
102692220.0;118;256;374
102692254.0;84;123;207
102692262.0;178;338;516
102730148.0;161;323;484
102789207.0;118;325;443
102807647.0;90;197;287
102807655.0;161;414;575
102814350.0;144;239;383
102856613.0;34;9;43
102867071.0;57;98;155
102867097.0;150;207;357
102867135.0;230;606;836
102943486.0;60;73;133
102943494.0;80;184;264
102943508.0;60;98;158
102943516.0;87;170;257
102943524.0;101;148;249
102943541.0;90;144;234
102943559.0;225;549;774
103019715.0;114;249;363
103019731.0;60;122;182
103031529.0;20;9;29
103031642.0;60;184;244
103031651.0;230;461;691
107820013.0;77;109;186
107820064.0;257;564;821
107820102.0;182;344;526
107820153.0;278;846;1124
107820218.0;63;138;201
107820251.0;142;541;683
107820340.0;122;174;296
107820391.0;114;167;281
107820439.0;96;216;312
107820447.0;112;153;265
107820480.0;22;101;123
107820536.0;125;142;267
107820544.0;102;140;242
107820668.0;106;174;280
107830019.0;38;54;92
107830086.0;90;105;195
107830281.0;125;196;321
107830299.0;180;215;395
107830302.0;87;130;217
107830345.0;120;143;263
107830396.0;165;251;416
107840294.0;107;180;287
107840308.0;219;362;581
107840359.0;74;93;167
107850079.0;479;803;1282
107850214.0;141;358;499
107850303.0;154;315;469
107850389.0;24;16;40
107850427.0;193;362;555
107850451.0;202;443;645
107850486.0;270;539;809
107850532.0;175;455;630
107850541.0;125;238;363
107850753.0;145;170;315
107860601.0;65;119;184
107860678.0;159;298;457
107860937.0;166;423;589
107870312.0;71;109;180
107870321.0;57;94;151
107870347.0;202;427;629
107870479.0;129;151;280
107870568.0;58;129;187
107870738.0;221;432;653
107870746.0;146;247;393
107870762.0;72;90;162
107870789.0;388;713;1101
107870801.0;75;82;157
107870878.0;174;359;533
107870932.0;233;268;501
107870941.0;181;237;418
107870959.0;103;227;330
107871173.0;167;251;418
107880245.0;115;237;352
107880351.0;159;239;398
107880369.0;219;396;615
107880377.0;142;309;451
107880610.0;62;69;131
107880741.0;99;141;240
107880792.0;125;257;382
107880873.0;96;127;223
107881004.0;110;187;297
108000877.0;28;40;68
108001270.0;58;584;642
108001288.0;58;312;370
108001342.0;120;704;824
108001369.0;30;36;66
108001491.0;96;376;472
108001547.0;28;99;127
108001571.0;171;319;490
108002586.0;2;3;5
108003841.0;120;257;377
108003868.0;58;233;291
108003981.0;42;109;151
108004481.0;58;64;122
108005623.0;52;118;170
108005631.0;64;97;161
108005640.0;57;58;115
108006891.0;244;575;819
108006930.0;149;391;540
108006948.0;139;229;368
108006972.0;348;641;989
108007014.0;60;144;204
108007049.0;49;41;90
108007057.0;60;135;195
108007863.0;90;201;291
108010015.0;29;104;133
108010112.0;30;198;228
108010228.0;25;131;156
108010848.0;157;263;420
108011020.0;118;167;285
108011119.0;145;568;713
108012654.0;90;205;295
108013669.0;51;40;91
108014053.0;113;224;337
108014193.0;143;350;493
108015769.0;14;38;52
108017109.0;10;3;13
108019578.0;49;170;219
108020908.0;22;34;56
108021041.0;78;258;336
108022161.0;45;31;76
108022463.0;56;190;246
108022650.0;156;116;272
108022676.0;50;61;111
108022722.0;37;46;83
108023079.0;88;94;182
108023087.0;110;138;248
108024148.0;60;183;243
108026761.0;3;0;3
108027457.0;58;145;203
108028135.0;50;116;166
108028917.0;87;226;313
108029174.0;32;68;100
108029310.0;60;490;550
108029344.0;131;139;270
108029395.0;4;10;14
